"AGED -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
03030,ARIZONA                  ,GILA,"9,899","46,390,498",390.53,"41,020,652",345.33,"938,400","3,992,874","438,571","9,389","40,844,694",362.52,0.948
03040,ARIZONA                  ,GRAHAM,"2,876","11,498,065",333.16,"10,208,811",295.80,"247,328","950,744","91,180","2,731","9,765,482",297.98,0.869
03050,ARIZONA                  ,GREENLEE,715,"2,742,716",319.66,"2,447,147",285.22,"45,209","227,764","22,595",685,"2,431,580",295.81,0.828
03055,ARIZONA                  ,LA PAZ,"3,481","14,864,292",355.84,"13,459,097",322.20,"201,403","1,108,214","95,575","3,204","13,187,901",343.01,0.892
03060,ARIZONA                  ,MARICOPA,"240,131","909,122,064",315.50,"822,642,244",285.48,"15,063,908","63,063,132","8,352,778","217,322","961,783,496",368.80,0.914
03070,ARIZONA                  ,MOHAVE,"32,837","128,564,695",326.27,"116,362,580",295.30,"1,978,828","9,473,805","749,480","31,144","122,893,917",328.83,0.943
03080,ARIZONA                  ,NAVAJO,"11,082","39,619,035",297.92,"35,223,964",264.87,"541,616","3,646,650","206,803","10,583","39,856,694",313.84,0.873
03090,ARIZONA                  ,PIMA,"80,857","268,753,420",276.98,"232,495,320",239.62,"8,981,478","24,026,192","3,250,428","73,073","295,423,360",336.90,0.899
03100,ARIZONA                  ,PINAL,"21,202","84,057,168",330.38,"75,850,640",298.13,"975,605","6,785,388","445,534","19,397","83,032,570",356.72,0.895
03110,ARIZONA                  ,SANTA CRUZ,"3,321","7,745,951",194.37,"6,500,184",163.11,"334,317","800,076","111,372","3,011","9,009,612",249.35,0.798
03120,ARIZONA                  ,YAVAPAI,"36,266","117,785,000",270.65,"108,324,861",248.91,"1,060,352","7,956,053","443,732","34,006","126,089,231",308.99,0.896
03130,ARIZONA                  ,YUMA,"19,019","69,795,561",305.82,"63,556,517",278.48,"698,497","5,277,863","262,681","18,027","71,217,629",329.22,0.963
04000,ARKANSAS                 ,ARKANSAS,"2,876","11,436,055",331.36,"10,350,758",299.92,"104,337","926,646","54,311","2,692","10,820,784",334.97,0.972
04010,ARKANSAS                 ,ASHLEY,"3,224","14,393,774",372.05,"13,325,735",344.44,"148,413","848,481","71,143","3,107","12,942,352",347.13,0.950
04020,ARKANSAS                 ,BAXTER,"9,183","33,006,034",299.52,"31,298,433",284.03,"218,633","1,407,291","81,676","8,879","31,718,586",297.69,0.964
04030,ARKANSAS                 ,BENTON,"18,357","67,463,063",306.25,"63,250,000",287.13,"520,761","3,489,293","203,007","17,041","63,029,502",308.22,0.924
04040,ARKANSAS                 ,BOONE,"5,982","19,965,517",278.13,"18,244,888",254.16,"178,119","1,500,955","41,555","5,679","19,383,839",284.44,0.918
04050,ARKANSAS                 ,BRADLEY,"1,763","8,808,704",416.37,"8,317,929",393.17,"67,147","391,678","31,949","1,706","9,534,499",465.73,1.036
04060,ARKANSAS                 ,CALHOUN,684,"3,171,432",386.38,"2,939,625",358.14,"29,421","185,512","16,872",655,"2,787,429",354.63,0.983
04070,ARKANSAS                 ,CARROLL,"3,700","11,734,108",264.28,"11,055,519",249.00,"181,198","457,402","39,987","3,463","11,623,895",279.72,0.825
04080,ARKANSAS                 ,CHICOT,"1,997","9,855,667",411.27,"8,882,448",370.66,"114,695","807,767","50,754","1,903","7,865,186",344.42,0.937
04090,ARKANSAS                 ,CLARK,"2,974","10,532,851",295.14,"9,959,635",279.08,"55,005","487,773","30,437","2,814","10,040,652",297.34,0.943
04100,ARKANSAS                 ,CLAY,"2,839","12,049,887",353.70,"10,993,385",322.69,"101,471","916,239","38,791","2,722","10,793,862",330.45,0.927
04110,ARKANSAS                 ,CLEBURNE,"5,124","15,948,353",259.37,"14,728,214",239.53,"115,726","1,052,659","51,752","4,964","19,023,136",319.35,0.914
04120,ARKANSAS                 ,CLEVELAND,"1,168","5,023,721",358.43,"4,492,699",320.54,"91,414","380,583","59,023","1,121","4,647,329",345.47,0.938
04130,ARKANSAS                 ,COLUMBIA,"3,470","16,162,454",388.15,"15,008,584",360.44,"97,375","1,013,886","42,609","3,352","13,076,187",325.08,0.953
04140,ARKANSAS                 ,CONWAY,"3,089","11,401,692",307.59,"10,610,138",286.23,"111,788","635,423","44,342","2,955","10,741,193",302.91,0.934
04150,ARKANSAS                 ,CRAIGHEAD,"10,451","42,952,819",342.49,"39,023,996",311.17,"410,221","3,339,270","179,330","9,930","35,160,438",295.07,0.925
04160,ARKANSAS                 ,CRAWFORD,"5,473","20,758,673",316.08,"18,840,967",286.88,"222,751","1,591,611","103,342","5,097","18,867,497",308.47,0.943
04170,ARKANSAS                 ,CRITTENDEN,"4,669","23,547,437",420.28,"19,719,283",351.95,"680,725","2,772,122","375,305","4,362","17,164,325",327.91,1.004
04180,ARKANSAS                 ,CROSS,"2,286","9,519,928",347.04,"8,711,979",317.58,"113,579","649,047","45,323","2,190","7,798,783",296.76,0.923
04190,ARKANSAS                 ,DALLAS,"1,155","5,024,853",362.54,"4,681,604",337.78,"45,235","272,991","25,021","1,114","4,677,783",349.92,0.953
04200,ARKANSAS                 ,DESHA,"1,812","8,733,557",401.65,"8,121,582",373.51,"109,681","447,113","55,178","1,723","8,477,682",410.03,0.979
04210,ARKANSAS                 ,DREW,"2,247","9,909,975",367.53,"8,995,878",333.63,"117,265","746,471","50,359","2,150","9,549,488",370.14,0.970
04220,ARKANSAS                 ,FAULKNER,"10,475","34,685,528",275.94,"31,921,074",253.95,"394,998","2,159,120","210,334","9,856","38,163,167",322.67,0.908
04230,ARKANSAS                 ,FRANKLIN,"2,201","8,216,264",311.08,"7,697,221",291.43,"49,824","451,413","17,804","2,098","7,348,196",291.87,0.931
04240,ARKANSAS                 ,FULTON,"2,040","7,120,245",290.86,"6,695,562",273.51,"36,451","373,597","14,633","1,950","7,916,392",338.31,0.943
04250,ARKANSAS                 ,GARLAND,"20,543","73,413,418",297.80,"69,044,070",280.08,"394,231","3,799,955","175,162","19,677","78,168,794",331.05,0.952
04260,ARKANSAS                 ,GRANT,"2,146","9,041,717",351.11,"8,253,260",320.49,"105,449","619,253","63,754","2,022","8,411,818",346.68,0.969
04270,ARKANSAS                 ,GREENE,"4,904","22,727,473",386.21,"20,430,378",347.17,"168,421","2,066,501","62,171","4,703","16,232,879",287.63,0.961
04280,ARKANSAS                 ,HEMPSTEAD,"2,498","13,157,387",438.93,"12,195,712",406.85,"110,395","808,845","42,433","2,380","9,734,882",340.86,0.993
04290,ARKANSAS                 ,HOT SPRING,"4,228","18,900,113",372.52,"17,928,262",353.36,"68,170","867,591","36,089","4,073","16,035,056",328.08,0.987
04300,ARKANSAS                 ,HOWARD,"2,026","8,116,611",333.85,"7,627,357",313.73,"71,118","385,417","32,717","1,914","7,905,651",344.20,0.956
