"AGED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
04080,ARKANSAS                 ,CHICOT                 ,"1,943","9,359,254",401.41,"8,525,292",365.64,"69,046","726,002","38,912","1,842","7,928,289",358.68,0.959,,,,,,
04090,ARKANSAS                 ,CLARK                  ,"3,001","10,048,190",279.02,"9,463,969",262.80,"57,419","504,683","22,117","2,799","9,593,294",285.62,0.963,,,,,,
04100,ARKANSAS                 ,CLAY                   ,"2,801","13,074,725",388.99,"11,921,421",354.68,"110,252","1,002,850","40,201","2,658","10,677,279",334.75,0.929,,,,,,
04110,ARKANSAS                 ,CLEBURNE               ,"5,185","15,191,816",244.16,"13,953,544",224.26,"136,679","1,055,568","46,024","5,002","19,010,281",316.71,0.901,,,,,,
04120,ARKANSAS                 ,CLEVELAND              ,"1,214","4,192,345",287.78,"3,816,855",262.00,"59,009","272,473","44,006","1,160","4,771,562",342.78,0.938,,,,,,
04130,ARKANSAS                 ,COLUMBIA               ,"3,480","14,471,994",346.55,"13,469,533",322.55,"95,903","868,339","38,217","3,318","14,242,089",357.70,0.956,,,,,,
04140,ARKANSAS                 ,CONWAY                 ,"3,143","10,603,308",281.14,"9,814,564",260.22,"115,983","630,614","42,146","2,967","11,326,452",318.12,0.936,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD              ,"11,084","45,267,071",340.33,"41,144,453",309.34,"504,390","3,407,757","210,469","10,426","39,677,080",317.13,0.925,,,,,,
04160,ARKANSAS                 ,CRAWFORD               ,"5,486","21,515,357",326.82,"19,796,127",300.71,"206,978","1,483,720","28,531","5,043","18,626,384",307.79,0.939,,,,,,
04170,ARKANSAS                 ,CRITTENDEN             ,"4,806","21,140,593",366.57,"17,716,630",307.20,"595,050","2,638,882","190,028","4,416","18,197,228",343.40,1.008,,,,,,
04180,ARKANSAS                 ,CROSS                  ,"2,375","10,757,267",377.45,"9,907,201",347.62,"135,783","661,098","53,184","2,244","8,501,427",315.71,0.939,,,,,,
04190,ARKANSAS                 ,DALLAS                 ,"1,134","4,039,058",296.81,"3,744,520",275.17,"44,717","225,787","24,033","1,092","4,795,292",365.94,0.947,,,,,,
04200,ARKANSAS                 ,DESHA                  ,"1,830","8,480,174",386.16,"7,872,442",358.49,"87,478","464,014","56,238","1,737","7,894,170",378.73,0.964,,,,,,
04210,ARKANSAS                 ,DREW                   ,"2,310","11,649,349",420.25,"10,712,673",386.46,"93,627","789,427","53,621","2,185","10,050,003",383.30,0.975,,,,,,
